title,author,first_publish_year,edition_count
Crossing the Line,Mya Guarnieri Jaradat,2025,4
You,Vane Lashua,2022,4
Wreck This Journal for Girls,Mini Bear,2021,3
Davidson College Catalog; 1887-1888,Davidson College,2021,1
Into Twilight,Cale Plamann,2021,2
Hell Yeah or No What's Worth Doing,Siversd Dereke,2021,1
Microbiology,Gerard J. Tortora,2020,6
Loqaimat Diet,Mia Takehiro,2019,1
House of Rage and Sorrow,Sangu Mandanna,2019,4
Kipps,H. G. Wells,2019,1
Michelle Bachelet 2014-2018,Pilar Molina Armas,2018,1
Luz de Adán,Gabriel Woltke,2017,1
Bourboule,Valentin Adani Deschamps,2017,1
Chacrobate (Hors Collection - Animaux (16246)) (French Edition),Sayo Koizumi,2016,1
Korri Angel 1 SIGIL CAST,Everette Hartsoe,2016,1
Jerky Recipes Cookbook,Michelle Bakeman,2015,1
"Women education, health and mobility status",Suchitra S. Kumar,2014,1
Replaycity,Christopher Dell,2011,1
India in the space age,Mohan Sundara Rajan.,2008,1
三朝漫話 -,Yueyi Li,2004,1
"Employment of People with Disabilities - Thailand Country Profile, March 2003",International Labour Office,2003,1
Low-energy FPGAs,Varghese George,2001,1
Wolfpack Volume 1,Various,2001,1
EMEAP exchange rate regime study,Executives' Meeting of East Asia-Pacific Central Banks,2001,1
Kōreiki saigo no seikatsu kadai to sōsō no seizen keiyaku,Keiko Kitagawa,2001,1
